threshold,f1,precision,recall,positive_rate
0.2,0.5805134549953603,0.4474964234620887,0.826056338028169,0.6643644658471677
0.225,0.5860674753098695,0.469969171893271,0.7783450704225352,0.5960588011658852
0.25,0.5865839035056782,0.489349182064258,0.7320422535211267,0.5383981751362311
0.275,0.5859274407331667,0.5141565864681643,0.6809859154929577,0.4766822962869091
0.3,0.5811419677234374,0.5434349624636127,0.6244718309859155,0.41357242428082625
0.325,0.5642699602999559,0.5655172413793104,0.5630281690140845,0.35831960461285006
0.35,0.5473803669377719,0.5913363302002452,0.5095070422535212,0.3101001140539856
0.375,0.5269726247987118,0.6151315789473685,0.4609154929577465,0.2696743125079204
0.4,0.5065845369583687,0.6383832976445396,0.4198943661971831,0.2367253833481181
0.425,0.48976868327402134,0.6648550724637681,0.38767605633802815,0.20985933341781776
0.45,0.4676837079305928,0.6907464740282078,0.35352112676056335,0.18419718666835636
0.475,0.4411370013419544,0.7183154549066348,0.3183098591549296,0.15948548979850463
0.5,0.4204014644615579,0.7429718875502008,0.29313380281690143,0.14199721201368648
0.525,0.4021866458414682,0.7713429855217174,0.2720070422535211,0.1269167405905462
0.55,0.3847695390781563,0.7977839335180056,0.2535211267605634,0.11437080217969839
0.575,0.36443348403890946,0.8214947498455837,0.23415492957746478,0.10258522367253833
0.6,0.35128348214285715,0.8461021505376344,0.2216549295774648,0.09428462805728044
