,gain,perm,mi,shap,min_rank,max_rank,mean_rank,drop_candidate,rank_gain,rank_perm,rank_mi,rank_shap
weight_kg_zscore_in_race,12.020938873291016,0.09356063779285692,0.03798822008264935,0.3163311,0.926829268292683,1.0,0.9817073170731707,False,0.926829268292683,1.0,1.0,1.0
avg_finish_last3,26.824243545532227,0.002330630117057564,0.033716050114204865,0.12553158,0.7560975609756098,1.0,0.9085365853658536,False,1.0,0.7560975609756098,0.975609756097561,0.9024390243902439
racetrack_id_1.0,24.301185607910156,0.01471718732015157,0.01208333390815608,0.15630232,0.7073170731707317,0.975609756097561,0.8841463414634145,False,0.975609756097561,0.926829268292683,0.7073170731707317,0.926829268292683
n_field,10.88257884979248,0.04464483593064124,0.007458432782252888,0.18120588,0.6097560975609756,0.975609756097561,0.8597560975609756,False,0.8780487804878049,0.975609756097561,0.6097560975609756,0.975609756097561
jockey_career_show_rate,7.102219104766846,0.02363918022191025,0.014942170567822322,0.17364274,0.7073170731707317,0.9512195121951219,0.8414634146341463,False,0.7073170731707317,0.9512195121951219,0.7560975609756098,0.9512195121951219
best_finish_last3,8.056233406066895,0.0008306141116198651,0.029018225357511973,0.06765461,0.6097560975609756,0.9512195121951219,0.7926829268292683,False,0.8048780487804879,0.6097560975609756,0.9512195121951219,0.8048780487804879
jockey_career_runs,6.087332248687744,0.004576244116298911,0.011690946804969737,0.09586718,0.5853658536585366,0.8780487804878049,0.75,False,0.5853658536585366,0.8780487804878049,0.6829268292682927,0.8536585365853658
dividend_last3_mean,6.8340044021606445,0.0028288759891871296,0.021310823685863012,0.04527421,0.6585365853658537,0.8048780487804879,0.7256097560975611,False,0.6585365853658537,0.7804878048780488,0.8048780487804879,0.6585365853658537
weight_kg,6.140262126922607,0.0068877017621646,0.008990194615252411,0.06626687,0.6097560975609756,0.9024390243902439,0.725609756097561,False,0.6097560975609756,0.9024390243902439,0.6341463414634146,0.7560975609756098
dividend_career_min,5.399458885192871,0.0029768411531815977,0.01605807306904028,0.058777917,0.4878048780487805,0.8292682926829268,0.7012195121951219,False,0.4878048780487805,0.8292682926829268,0.7804878048780488,0.7073170731707317
career_show_rate,9.461631774902344,0.0012932563982588797,0.025124006593866266,0.02935075,0.4146341463414634,0.8780487804878049,0.7012195121951219,False,0.8292682926829268,0.6829268292682927,0.8780487804878049,0.4146341463414634
dividend_career_mean,6.480677127838135,0.001945580149443038,0.013693760598262106,0.04961888,0.6341463414634146,0.7317073170731707,0.6951219512195123,False,0.6341463414634146,0.7317073170731707,0.7317073170731707,0.6829268292682927
last_finish_pos,13.776566505432129,-0.001030665056587754,0.026340258032517383,0.09534692,0.024390243902439025,0.9512195121951219,0.6829268292682926,False,0.9512195121951219,0.024390243902439025,0.926829268292683,0.8292682926829268
year_places,11.794365882873535,-0.0005874506470624263,0.006550793791384235,0.067292824,0.1951219512195122,0.9024390243902439,0.6158536585365855,False,0.9024390243902439,0.1951219512195122,0.5853658536585366,0.7804878048780488
track_show_rate,7.822650909423828,-9.501100288709097e-05,0.022185295602385358,0.034928765,0.2926829268292683,0.8292682926829268,0.6036585365853658,False,0.7560975609756098,0.2926829268292683,0.8292682926829268,0.5365853658536586
rest_days,5.107466697692871,0.003821706915234491,0.0,0.09711631,0.13414634146341464,0.8780487804878049,0.5457317073170731,False,0.3170731707317073,0.8536585365853658,0.13414634146341464,0.8780487804878049
year_show_rate,7.887446880340576,-0.0006521534805697283,0.023425165649186397,0.030636868,0.0975609756097561,0.8536585365853658,0.5426829268292683,False,0.7804878048780488,0.0975609756097561,0.8536585365853658,0.43902439024390244
